ResponseId,CHECK,SM_VOLUME,SM_FREQ1,SM_FREQ2,SM_FREQ3,SM_FREQ4,SM_FREQ5,SM_FREQ6,SM_FREQ7,SM_FREQ8,SM_FREQ9,SM_FREQ10,SM_FREQ11,NSMCS_1,NSMCS_2,NSMCS_3,NSMCS_4,NSMCS_5,NSMCS_6,PSQI1,PSQI3,PSQI2,PSQI4,PSQI5_1,PSQI5_2,PSQI5_3,PSQI5_4,PSQI5_5,PSQI5_6,PSQI5_7,PSQI5_8,PSQI5_9,PSQI5_10,PSQI6,PSQI7,PSQI8,PSQI9,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSA7,PSA8,PSA9,PSA10,PSA11,PSA12,PSA13,PSA14,PSA15,PSA16,EMOINVEST_1,EMOINVEST_2,EMOINVEST_3,EMOINVEST_4,EMOINVEST_5,EMOINVEST_6,EMOINVEST_7,EMOINVEST_8,EMOINVEST_9,EMOINVEST_10,AGE,GENDER,MALE,NONBIN,RACE_WHITE,RACE_BLACK,RACE_LATIN,RACE_ASIAN,RACE_AIAN,RACE_NHOPI,RACE_MULTI,RACE_OTHER,EDUC,psaTOT,isiTOT,eminvTOT,nscmsTOT,smfreqTOT,PSQI_Quality,PSQI_Latc1,PSQI_Latc2,PSQI_Latsum,PSQI_Latency,PSQI_Duration,PSQI_TIB,PSQI_TIB2,PSQI_DUR,PSQI_EffRaw,PSQI_Efficiency,PSQI_Distraw,PSQI_Disturbance,PSQI_Medication,PSQI_DayRaw,PSQI_Dysfunction,PSQI_TotScore
R_6PttC6VUrKSxP1v,1,2,4,6,3,4,5,6,2,1,6,5,3,3,3,3,4,6,3,6,11,120,9,3,3,3,2,4,4,2,3,3,2,2,2,4,1,5,5,4,5,3,4,4,3,4,2,1,3,3,5,2,1,1,3,5,5,2,3,1,3,5,3,5,4,3,6,5,6,4,30,1,1,0,1,0,0,0,0,0,0,0,5,2.75,23,4.4,3.66666666666667,4.09090909090909,0,3,2,5,3,3,26.5,2.5,4,1.6,0,17,2,1,4,2,11
R_3iDf80qE6cQHIwF,2,3,4,6,3,7,6,4,5,5,6,3,6,4,3,5,4,4,5,3,13,10,9,4,4,2,3,2,4,3,3,2,3,3,2,2,3,3,4,2,3,3,4,2,4,4,4,2,5,4,2,3,4,5,2,3,2,4,1,4,3,4,5,4,4,4,5,4,3,4,30,1,1,0,0,0,0,1,0,0,0,0,5,3.3125,14,4,4.16666666666667,5,2,0,3,3,2,3,29,5,4,.8,1,17,2,2,2,1,13
R_79aiVOpWxREAoJ2,1,2,3,5,4,1,1,1,1,3,1,1,1,4,5,3,2,5,2,42,10,20,12,1,1,3,2,1,1,2,2,1,1,3,2,2,2,2,4,3,3,2,2,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,3,1,4,4,3,21,1,1,0,0,0,0,1,0,0,0,0,4,3.1875,12,3.3,3.5,2,1,1,0,1,1,2,8,8,5.5,.6875,2,5,1,2,2,1,10
R_5ee35HJAntqVC3T,2,3,4,7,2,2,4,2,3,3,1,1,3,5,4,2,5,2,1,6,18,1,8,3,2,3,2,3,3,3,3,2,4,2,4,4,2,2,4,2,1,2,3,1,3,1,5,3,2,3,2,3,4,3,4,4,3,3,2,4,4,3,4,5,5,2,2,2,2,4,28,1,1,0,1,0,0,0,0,0,0,0,3,3.0625,8,3.3,3.16666666666667,2.90909090909091,1,0,2,2,1,3,30,6,3.5,.583333333333333,3,16,2,1,6,3,14
R_6Du15ZslGgUPf7M,2,2,6,7,1,3,3,1,1,1,1,1,3,4,6,4,4,4,6,5,18,4,14,4,4,1,1,1,1,3,1,4,1,1,1,4,4,5,5,5,5,3,3,5,5,1,5,5,5,5,5,3,5,3,3,3,3,3,3,3,3,3,1,1,5,1,1,4,4,3,20,1,1,0,0,0,0,0,0,0,1,0,2,3.75,24,2.6,4.66666666666667,2.54545454545455,3,0,3,3,2,1,30.5,6.5,6.5,1,0,8,1,0,3,2,9
R_1LZbsmu1EJ5BKbn,2,4,2,7,2,2,2,2,7,2,2,2,2,6,6,6,6,6,6,48,14,20,15,1,2,4,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,2,2,1,2,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,5,2,1,1,1,5,1,1,30,1,1,0,1,0,0,0,0,0,0,0,3,1.625,7,1.9,6,2.90909090909091,1,1,0,1,1,0,7,7,7,1,0,5,1,0,1,1,4
R_5oZmGuaTthzZvCb,2,3,6,7,2,2,4,7,2,5,3,1,7,4,5,4,4,3,4,13,31,20,17,2,1,2,3,2,3,4,2,2,2,4,3,2,1,1,1,1,2,2,2,4,1,1,3,1,3,3,3,3,3,1,3,3,2,3,2,3,6,5,4,3,5,6,3,3,4,5,28,1,1,0,1,0,1,0,0,0,0,0,5,2.375,6,4.4,4,4.18181818181818,0,1,1,2,1,0,33,9,8,.888888888888889,0,12,2,3,3,2,8
R_5Cy0jAj8bbR2tJZ,2,4,1,4,3,2,5,1,1,1,7,1,1,2,1,5,4,1,1,43,15,10,21,2,1,3,1,1,2,3,1,1,1,1,3,2,2,1,2,1,2,4,2,3,5,4,4,2,3,4,5,3,1,1,1,3,4,4,2,2,1,1,1,1,1,4,5,3,6,4,22,1,1,0,1,0,0,0,0,0,0,0,6,3,8,2.7,2.33333333333333,2.45454545454545,1,0,1,1,1,0,10,10,10,1,0,5,1,0,3,2,5
R_6fjBv7gD1bgDajQ,2,4,1,7,7,7,1,1,1,1,5,1,6,6,6,6,6,6,6,1,19,40,18,4,1,1,1,1,1,3,3,1,1,4,4,4,4,3,2,1,4,3,3,4,3,5,3,4,3,4,4,5,1,1,1,1,1,3,1,2,6,3,6,4,6,6,6,1,6,6,27,1,1,0,0,0,0,0,0,0,0,1,3,2.625,13,5,6,3.45454545454545,3,2,3,5,3,0,33,9,8.5,.944444444444444,0,4,1,3,6,3,13
R_3RDbB0VJVnhnfBn,2,4,1,7,1,7,7,1,1,1,1,1,1,6,6,6,6,6,6,1,1,70,13,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,6,4,3,19,1,1,0,0,0,0,0,0,0,1,0,3,4.875,26,4.5,6,2.63636363636364,3,3,3,6,3,1,24,24,6,.25,3,27,3,3,6,3,19
R_5ogoKgJQ8ZATcGZ,2,4,7,5,6,7,6,4,5,6,7,1,7,2,1,2,1,1,1,43,16,40,17,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,3,1,4,5,2,5,5,27,1,1,0,0,0,1,0,0,0,0,0,2,1.0625,6,3.3,1.33333333333333,5.54545454545455,1,2,0,2,1,0,10.5,10.5,8,.761904761904762,1,1,1,0,0,0,4
R_37VhquvCV7KPEmE,2,2,4,3,4,3,5,4,5,3,3,4,4,3,4,5,4,4,4,5,29,8,18,4,4,4,4,1,1,3,3,1,1,3,3,2,2,3,4,3,3,3,3,2,4,4,4,3,3,4,4,3,4,4,4,5,5,5,4,5,4,5,5,6,6,6,5,5,5,5,30,1,1,0,0,1,0,0,0,0,0,0,2,4.0625,14,5.2,4,3.81818181818182,1,0,3,3,2,0,36,12,8.5,.708333333333333,2,13,2,2,3,2,11
R_3YDPggROifYPJoB,2,3,3,4,4,5,5,5,5,4,3,6,6,2,3,3,2,3,5,5,5,30,6,4,2,2,3,2,2,1,3,2,3,3,2,3,2,3,3,4,3,4,3,2,3,3,3,3,3,3,3,2,1,2,4,3,3,3,2,2,3,3,3,3,4,4,4,4,3,4,30,1,1,0,1,0,0,0,0,0,0,0,2,2.6875,15,3.5,3,4.54545454545455,1,1,3,4,2,3,24,24,2.5,.104166666666667,3,11,2,2,3,2,15
R_7B8QevEhGKli0Kj,2,2,1,6,1,7,6,1,1,1,1,1,7,4,3,3,3,4,3,15,37,15,16,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,0,0,1,0,0,1,0,0,0,2,1.0625,9,1,3.33333333333333,3,2,0,3,3,2,0,35,11,7.5,.681818181818182,2,0,0,0,0,0,6
R_3pAxBU7XamCyWdd,2,2,5,4,5,3,3,4,5,5,5,5,5,4,5,4,3,3,4,8,6,30,4,2,3,3,1,3,3,2,2,3,3,2,3,4,2,4,2,3,2,3,1,2,3,1,2,3,2,4,4,2,1,3,4,2,3,3,2,4,3,4,4,3,2,5,5,3,4,4,25,1,1,0,0,1,0,0,0,0,0,0,4,2.6875,10,3.7,3.83333333333333,4.45454545454545,1,1,1,2,1,3,23,23,1.5,.0652173913043478,3,14,2,1,5,3,14
R_7EB8x3Dvgx1J1BJ,2,4,7,7,1,5,1,1,1,5,1,1,7,2,2,4,3,3,1,5,18,5,13,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,2,4,1,3,4,23,1,1,0,1,0,0,0,0,0,0,0,5,1.0625,1,2.3,2.5,3.36363636363636,0,0,0,0,0,1,30.5,6.5,6,.923076923076923,0,1,1,0,0,0,2
R_7xUgrHeZFEeDVpD,2,4,1,5,7,7,7,1,1,1,1,1,1,6,5,5,5,5,6,6,21,35,11,4,3,4,3,1,4,4,4,3,1,1,1,4,3,5,5,1,5,3,3,4,5,3,5,5,5,5,5,5,5,3,1,4,5,3,1,1,6,6,6,6,5,6,5,5,5,5,25,1,1,0,1,0,0,0,0,0,0,0,3,3.8125,19,5.5,5.33333333333333,3,2,2,3,5,3,2,31.5,7.5,5,.666666666666667,2,18,2,0,3,2,13
R_5XWvG8PoAfJCyC5,2,4,6,6,7,7,7,6,6,7,7,6,6,5,5,6,5,6,5,47,17,30,18,3,3,3,4,3,4,3,4,3,4,3,3,2,2,3,3,3,2,2,2,2,3,2,3,4,2,3,2,3,1,2,4,3,3,3,3,2,4,4,4,5,4,3,4,4,4,4,23,1,1,0,0,1,0,0,0,0,0,0,4,2.6875,10,4,5.33333333333333,6.45454545454545,1,1,2,3,2,0,9,9,8.5,.944444444444444,0,22,3,2,3,2,10
R_3jkU3Cj8h4laXV7,2,2,4,5,5,2,4,5,3,6,3,6,3,4,2,2,5,5,5,7,10,56,4,2,3,3,2,2,3,4,3,2,3,2,3,2,2,3,4,2,3,2,4,2,4,3,2,2,4,3,4,2,4,3,4,3,3,2,2,3,4,3,2,4,4,4,4,5,4,3,24,1,1,0,0,1,0,0,0,0,0,0,3,3,13,3.7,3.83333333333333,4.18181818181818,1,2,1,3,2,3,25.5,1.5,1.5,1,0,16,2,1,3,2,11
